Image,Scenario,CER,WER
img1.jpeg,RAW,0.30874785591766724,0.958904109589041
img1.jpeg,NLM,0.38250428816466553,1.2602739726027397
img1.jpeg,CLAHE+Sauvola,0.48027444253859347,0.9452054794520548
img1.jpeg,Median+Adaptive,0.44768439108061747,1.0410958904109588
img1.jpeg,Gamma+CLAHE+Sauvola,0.3996569468267582,1.0684931506849316
img10.jpeg,RAW,0.5866209262435678,0.8767123287671232
img10.jpeg,NLM,0.4305317324185249,0.9315068493150684
img10.jpeg,CLAHE+Sauvola,0.25900514579759865,0.8356164383561644
img10.jpeg,Median+Adaptive,0.2521440823327616,0.8767123287671232
img10.jpeg,Gamma+CLAHE+Sauvola,0.3018867924528302,0.9041095890410958
img2.jpeg,RAW,0.3979416809605489,0.9452054794520548
img2.jpeg,NLM,0.4425385934819897,1.0410958904109588
img2.jpeg,CLAHE+Sauvola,0.35506003430531735,0.9178082191780822
img2.jpeg,Median+Adaptive,0.3670668953687822,0.9863013698630136
img2.jpeg,Gamma+CLAHE+Sauvola,0.34991423670668953,0.9726027397260274
img3.jpeg,RAW,0.13379073756432247,0.5342465753424658
img3.jpeg,NLM,0.1097770154373928,0.4246575342465753
img3.jpeg,CLAHE+Sauvola,0.15437392795883362,0.5616438356164384
img3.jpeg,Median+Adaptive,0.14922813036020582,0.6027397260273972
img3.jpeg,Gamma+CLAHE+Sauvola,0.14065180102915953,0.5753424657534246
img4.jpeg,RAW,0.2504288164665523,0.7808219178082192
img4.jpeg,NLM,0.19897084048027444,0.8082191780821918
img4.jpeg,CLAHE+Sauvola,0.2058319039451115,0.8082191780821918
img4.jpeg,Median+Adaptive,0.2144082332761578,0.8493150684931506
img4.jpeg,Gamma+CLAHE+Sauvola,0.21783876500857632,0.8082191780821918
img5.jpeg,RAW,0.7238421955403087,1.2054794520547945
img5.jpeg,NLM,0.7821612349914236,1.643835616438356
img5.jpeg,CLAHE+Sauvola,0.7598627787307033,1.4383561643835616
img5.jpeg,Median+Adaptive,0.7838765008576329,1.6027397260273972
img5.jpeg,Gamma+CLAHE+Sauvola,0.6295025728987993,1.4383561643835616
img6.jpeg,RAW,0.4322469982847341,1.0273972602739727
img6.jpeg,NLM,0.43567753001715265,1.0547945205479452
img6.jpeg,CLAHE+Sauvola,0.41337907375643224,1.0547945205479452
img6.jpeg,Median+Adaptive,0.3996569468267582,1.0684931506849316
img6.jpeg,Gamma+CLAHE+Sauvola,0.379073756432247,1.0
img7.jpeg,RAW,0.4854202401372213,1.082191780821918
img7.jpeg,NLM,0.4665523156089194,0.9041095890410958
img7.jpeg,CLAHE+Sauvola,0.4099485420240137,0.9178082191780822
img7.jpeg,Median+Adaptive,0.39451114922813035,0.8767123287671232
img7.jpeg,Gamma+CLAHE+Sauvola,0.4305317324185249,0.9452054794520548
img8.jpeg,RAW,0.4202401372212693,1.0136986301369864
img8.jpeg,NLM,0.41337907375643224,1.1232876712328768
img8.jpeg,CLAHE+Sauvola,0.41852487135506006,0.9863013698630136
img8.jpeg,Median+Adaptive,0.5008576329331046,1.0136986301369864
img8.jpeg,Gamma+CLAHE+Sauvola,0.4734133790737564,1.1643835616438356
img9.jpeg,RAW,0.21269296740994853,0.8082191780821918
img9.jpeg,NLM,0.2109777015437393,0.7534246575342466
img9.jpeg,CLAHE+Sauvola,0.2144082332761578,0.7534246575342466
img9.jpeg,Median+Adaptive,0.2195540308747856,0.8356164383561644
img9.jpeg,Gamma+CLAHE+Sauvola,0.20754716981132076,0.821917808219178
